date_time,amount,method
2026-04-07 18:48:12.922964,4000.00,BALANCE
2026-04-07 18:45:19.667822,0.00,BALANCE
2026-04-07 18:20:22.137302,800.00,BALANCE
2026-04-07 18:18:35.74487,3400.0000,LTC
2026-04-07 18:17:29.04582,2940.000,USDT
2026-04-07 18:16:49.817726,2800.000,USDT
2026-04-07 18:04:11.363092,0.00,BALANCE
2026-04-07 18:01:59.625072,4000.00,BALANCE
2026-04-07 18:01:48.623837,3400.0000,LTC
2026-04-07 18:01:27.608678,4000.00,BALANCE
2026-04-07 18:01:23.244796,2900.00,BALANCE
2026-04-07 18:00:35.76466,2000.00,BALANCE
2026-04-07 17:55:20.468454,3900.00,BALANCE
2026-04-07 17:52:09.821449,0.00,BALANCE
2026-04-07 17:14:22.770167,2940.000,USDT
2026-04-07 17:04:32.004395,3800.00,card
2026-04-07 17:02:14.367145,3800.00,BALANCE
2026-04-07 16:52:18.97422,1900.00,BALANCE
2026-04-07 16:44:08.436238,1000.00,BALANCE
2026-04-07 16:39:27.400026,4000.00,BALANCE
2026-04-07 16:36:39.139926,0.00,BALANCE
2026-04-07 16:26:09.870409,2900.00,card
2026-04-07 16:16:20.771779,4400.00,card
2026-04-07 16:09:45.815592,4000.00,BALANCE
2026-04-07 15:59:45.801251,4200.00,BALANCE
2026-04-07 15:56:49.696726,3300.00,BALANCE
2026-04-07 15:51:44.680195,4000.00,BALANCE
2026-04-07 15:51:37.774818,2900.00,BALANCE
2026-04-07 15:36:10.018294,2900.00,BALANCE
2026-04-07 15:16:14.548267,0.00,BALANCE
2026-04-07 15:11:12.371417,3200.00,BALANCE
2026-04-07 14:47:37.067772,4200.00,BALANCE
2026-04-07 14:33:12.429462,4000.00,BALANCE
2026-04-07 14:32:39.637791,2940.000,USDT
2026-04-07 14:17:31.946679,4200.00,BALANCE
2026-04-07 14:08:52.373802,4000.00,BALANCE
2026-04-07 13:54:14.04424,2940.000,USDT
2026-04-07 13:49:53.203633,4000.00,BALANCE
2026-04-07 13:41:11.368421,4200.00,BALANCE
2026-04-07 13:40:13.529563,4000.00,BALANCE
2026-04-07 13:40:02.417218,4000.00,BALANCE
2026-04-07 13:38:33.562595,3300.00,BALANCE
2026-04-07 13:37:55.345906,3000.00,BALANCE
2026-04-07 13:32:12.769137,4000.00,BALANCE
2026-04-07 13:20:49.497695,3700.00,BALANCE
2026-04-07 13:20:41.888625,3300.00,BALANCE
2026-04-07 13:12:59.78558,4200.00,BALANCE
2026-04-07 13:12:49.679864,0.00,BALANCE
2026-04-07 13:03:59.93815,4000.00,BALANCE
2026-04-07 12:57:25.439855,3900.00,BALANCE
2026-04-07 12:56:07.720197,2500.00,BALANCE
2026-04-07 12:50:44.741582,4000.00,BALANCE
2026-04-07 12:32:23.837389,1900.00,BALANCE
2026-04-07 12:21:52.607803,4000.00,BALANCE
2026-04-07 12:03:01.821639,2310.000,USDT
2026-04-07 11:42:37.614493,4000.00,BALANCE
2026-04-07 11:32:42.872664,4000.00,card
2026-04-07 11:32:36.731714,4000.00,card
2026-04-07 11:30:23.663858,1100.00,BALANCE
2026-04-07 11:27:02.369931,0.00,BALANCE
2026-04-07 11:23:48.596249,450.00,BALANCE
2026-04-07 11:17:42.124109,3700.00,BALANCE
2026-04-07 11:08:19.078122,2900.00,BALANCE
2026-04-07 11:06:10.470883,2900.00,BALANCE
2026-04-07 10:51:19.80611,3000.00,BALANCE
2026-04-07 10:46:16.546651,2600.00,BALANCE
2026-04-07 09:40:35.699974,2800.000,USDT
2026-04-07 07:40:12.636421,2310.000,USDT
2026-04-07 07:08:24.223951,5040.000,USDT
2026-04-07 07:03:57.882309,2660.000,USDT
2026-04-07 04:55:34.025506,7200.00,BALANCE
2026-04-07 04:42:30.746377,4000.00,BALANCE
2026-04-07 04:18:11.109284,2310.000,USDT
2026-04-07 01:51:41.9335,0.00,BALANCE
2026-04-06 23:27:51.614365,3000.00,card
2026-04-06 23:19:44.806436,3200.00,BALANCE
2026-04-06 22:45:49.83158,4200.00,BALANCE
2026-04-06 22:38:28.026306,1300.00,BALANCE
2026-04-06 22:38:20.828491,4200.00,BALANCE
2026-04-06 22:34:17.822857,2940.000,USDT
2026-04-06 22:12:10.566045,0.00,BALANCE
2026-04-06 21:48:53.452591,2940.000,USDT
2026-04-06 21:14:11.519968,2800.000,USDT
2026-04-06 21:11:03.490557,4000.00,BALANCE
2026-04-06 21:03:44.704012,3300.00,BALANCE
2026-04-06 21:02:25.546703,0.00,BALANCE
2026-04-06 20:50:54.988341,2900.00,nirvana
2026-04-06 20:44:49.341997,1300.00,BALANCE
2026-04-06 20:25:31.165098,2940.000,USDT
2026-04-06 20:16:21.185196,3000.00,BALANCE
2026-04-06 20:12:14.303185,1600.00,BALANCE
2026-04-06 19:59:21.488417,0.00,BALANCE
2026-04-06 19:53:43.882788,100.00,BALANCE
2026-04-06 19:50:17.878774,3200.00,BALANCE
2026-04-06 19:50:13.713028,7200.00,BALANCE
2026-04-06 19:47:32.123629,2800.000,USDT
2026-04-06 19:42:15.918994,7200.00,BALANCE
